Wave,Absorption
694.0,0.698
695.0,0.687
696.0,0.682
697.0,0.676
698.0,0.67
699.0,0.664
700.0,0.659
701.0,0.659
702.0,0.659
703.0,0.66
704.0,0.659
705.0,0.661
706.0,0.661
707.0,0.66
708.0,0.66
709.0,0.66
710.0,0.66
711.0,0.659
712.0,0.66
713.0,0.66
714.0,0.658
715.0,0.66
716.0,0.659
717.0,0.66
718.0,0.661
719.0,0.662
720.0,0.663
721.0,0.662
722.0,0.662
723.0,0.661
724.0,0.66
725.0,0.66
726.0,0.662
727.0,0.661
728.0,0.661
729.0,0.66
730.0,0.661
731.0,0.659
732.0,0.661
733.0,0.659
734.0,0.661
735.0,0.66
736.0,0.66
737.0,0.66
738.0,0.66
739.0,0.66
740.0,0.66
741.0,0.662
742.0,0.661
743.0,0.662
744.0,0.663
745.0,0.663
746.0,0.662
747.0,0.662
748.0,0.662
749.0,0.663
750.0,0.661
751.0,0.662
752.0,0.663
753.0,0.66
754.0,0.661
755.0,0.662
756.0,0.661
757.0,0.66
758.0,0.66
759.0,0.661
760.0,0.66
761.0,0.66
762.0,0.661
763.0,0.661
764.0,0.662
765.0,0.662
766.0,0.663
767.0,0.664
768.0,0.664
769.0,0.665
770.0,0.665
771.0,0.664
772.0,0.664
773.0,0.663
774.0,0.664
775.0,0.663
776.0,0.662
777.0,0.661
778.0,0.663
779.0,0.66
780.0,0.662
781.0,0.662
782.0,0.663
783.0,0.661
784.0,0.662
785.0,0.661
786.0,0.664
787.0,0.665
788.0,0.666
789.0,0.667
790.0,0.668
791.0,0.669
792.0,0.668
793.0,0.669
794.0,0.67
795.0,0.669
796.0,0.669
797.0,0.669
798.0,0.668
799.0,0.667
800.0,0.668
